50136,漠河
50137,北极村
50246,塔河
50247,呼中
50349,新林
50353,呼玛
50425,额尔古纳市
50431,根河市
50434,图里河
50442,加格达奇
50445,鄂伦春自治旗
50468,爱辉
50514,满洲里
50524,陈巴尔虎旗
50525,鄂温克族自治旗
50526,牙克石市
50527,海拉尔
50548,小二沟
50557,嫩江
50564,孙吴
50566,逊克
50603,新巴尔虎右旗
50618,新巴尔虎左旗
50639,扎兰屯
50645,莫力达瓦达斡尔族自治旗
50646,讷河
50647,阿荣旗
50655,五大连池
50656,北安
50658,克山
50659,克东
50673,嘉荫
50674,乌伊岭
50727,阿尔山
50739,龙江
50741,甘南
50742,富裕
50745,齐齐哈尔
50749,林甸
50750,依安
50755,拜泉
50756,海伦
50758,明水
50767,绥棱
50772,五营
50774,伊春
50775,鹤岗
50776,萝北
50778,同江
50779,抚远
50787,绥滨
50788,富锦
50834,索伦
50842,杜蒙
50844,泰来
50850,大庆
50851,青冈
50852,望奎
50853,北林
50854,安达
50858,肇东
50859,兰西
50861,庆安
50862,铁力
50867,巴彦
50871,汤原
50873,佳木斯
50877,依兰
50878,桦川
50879,桦南
50880,集贤
50884,双鸭山
50888,宝清
50892,饶河
50913,乌拉盖
50915,东乌珠穆沁
50924,霍林郭勒
50928,巴雅尔吐胡硕
50934,突泉
50936,白城
50937,科尔沁右翼中旗
50939,洮南
50940,镇赉
50945,大安
50946,松原
50948,乾安
50949,前郭
50950,肇州
50953,哈尔滨
50954,肇源
50956,呼兰
50958,阿城
50960,宾县
50962,木兰
50963,通河
50964,方正
50965,延寿
50968,尚志
50971,七台河
50973,勃利
50978,鸡西
50979,林口
50983,虎林
50985,密山
50987,鸡东
51053,哈巴河
51058,阿克达拉
51060,布尔津
51068,福海
51076,阿勒泰
51087,富蕴
51133,塔城
51137,裕民
51145,额敏
51156,和布克赛尔
51232,阿拉山口
51238,博乐
51241,托里
51243,克拉玛依
51334,精河
51357,沙湾
51359,玛纳斯
51367,呼图壁
51368,昌吉
51369,米泉
51377,阜康
51378,吉木萨尔
51468,天山大西沟
51469,乌鲁木齐牧试站
51470,天池
51477,达坂城
51482,木垒
51526,库米什
51542,巴音布鲁克
51567,焉耆
51571,托克逊
51572,吐鲁番东坎
51573,吐鲁番
51627,乌什
51628,阿克苏
51636,新和
51639,沙雅
51656,库尔勒
51704,阿图什
51705,乌恰
51707,伽师
51709,喀什
51717,岳普湖
51720,柯坪
51722,阿瓦提
51730,阿拉尔
51747,塔中
51765,铁干里克
51802,英吉沙
51810,麦盖提
51811,莎车
51814,叶城
51815,泽普
51818,皮山
51826,策勒
51827,墨玉
51828,和田
51829,洛浦
51839,民丰
51855,且末
51931,于田
52101,巴里坤
52112,淖毛湖
52118,伊吾
52203,哈密
52313,红柳河
52323,马鬃山
52515,肃北
52533,酒泉
52546,高台
52557,临泽
52602,冷湖
52643,肃南
52652,张掖
52656,民乐
52674,永昌
52679,武威
52681,民勤
52707,小灶火
52784,古浪
52787,乌鞘岭
52797,景泰
52818,格尔木
52825,诺木洪
52836,都兰
52854,青海湖151
52856,共和
52863,互助
52866,西宁
52868,贵德
52869,湟中
52875,平安
52876,民和
52877,化隆
52881,天祝
52884,皋兰
52885,永登
52895,靖远
52896,白银
52908,五道梁
52941,沙珠玉
52943,兴海
52955,贵南
52957,同德
52963,尖扎
52968,泽库
52972,循化
52974,同仁
52978,夏河
52980,永靖
52981,东乡
52982,广河
52983,榆中
52984,临夏
52985,和政
52986,临洮
52988,康乐
52993,会宁
52995,安定
52996,华家岭
52998,渭源
53068,二连浩特
53083,那仁宝力格
53149,满都拉气象站
53192,阿巴嘎旗
53231,海力素
53289,镶黄旗
53336,乌拉特中旗
53337,五原
53348,大佘太
53352,达茂旗
53357,固阳
53362,四子王
53367,希拉穆仁
53368,武川县
53378,察右中旗
53384,察右后旗
53385,商都
53391,化德
53392,康保
53397,尚义
53399,张北
53419,磴口
53420,杭锦后旗
53433,乌拉特前旗
53446,包头市
53455,土右旗气象局
53457,达拉特旗
53463,呼和浩特
53464,土默特左旗
53466,呼和浩特郊区站
53467,托克托县
53469,和林格尔县
53472,卓资
53475,凉城
53478,右玉
53480,集宁
53481,察右前旗
53483,兴和
53484,丰镇
53486,阳高
53487,大同
53488,大同县
53490,天镇
53491,怀安
53492,阳原
53498,宣化
53499,万全
53512,乌海
53513,临河
53517,石炭井
53518,石嘴山
53519,惠农
53522,伊克乌素
53529,鄂托克旗
53533,杭锦旗
53543,东胜
53545,伊金霍洛旗
53553,准格尔旗
53562,清水河县
53564,河曲
53565,偏关
53567,府谷
53573,左云
53574,平鲁
53575,神池
53576,山阴
53577,宁武
53578,朔州
53579,代县
53582,浑源
53584,应县
53585,繁峙
53588,五台山
53590,广灵
53593,蔚县
53594,灵丘
53596,顺平
53599,涞源
53603,沙湖
53610,贺兰
53611,平罗
53612,吴忠
53614,银川
53615,陶乐
53617,青铜峡
53618,永宁
53619,灵武
53644,乌审旗
53646,榆林
53651,神木
53658,佳县
53659,临县
53660,保德
53662,岢岚
53663,五寨
53664,兴县
53665,岚县
53666,静乐
53669,娄烦
53673,原平
53674,忻府区
53676,定襄
53677,尖草坪
53678,阳曲
53679,小店
53680,灵寿
53681,五台县豆村
53682,曲阳
53685,盂县
53687,平定
53688,行唐
53689,晋州
53690,阜平
53691,正定
53692,唐县
53693,井陉
53694,平山
53695,新乐
53696,定州
53697,藁城
53699,无极
53704,中卫
53705,中宁
53707,兴仁
53723,盐池
53725,定边
53727,麻黄山
53730,鄂托克前旗
53732,河南
53735,靖边
53738,吴起
53740,横山
53748,子长
53750,米脂
53751,子洲
53753,柳林
53754,绥德
53756,吴堡
53757,清涧
53759,石楼
53760,方山
53763,古交
53764,离石
53767,中阳
53768,孝义
53769,汾阳
53770,祁县
53771,文水
53772,太原
53773,临漳
53774,清徐
53775,太谷
53776,榆次
53777,交城
53778,平遥
53780,寿阳
53781,沙河
53782,阳泉
53783,昔阳
53784,赵县
53785,柏乡
53786,左权
53787,榆社
53788,和顺
53789,栾城
53790,高邑
53791,元氏
53792,临城
53794,隆尧
53795,赞皇
53796,宁晋
53797,内丘
53798,邢台
53799,巨鹿
53806,海原
53810,同心
53817,固原
53821,环县
53829,庆城
53832,志丹
53841,安塞
53848,甘泉
53850,延川
53852,永和
53853,隰县
53854,延长
53856,大宁
53857,宜川
53859,吉县
53860,交口
53861,襄汾
53862,灵石
53863,介休
53864,蒲县
53865,汾西
53866,洪洞
53868,临汾
53869,霍州
53871,武乡
53872,沁县
53873,长子
53874,古县
53875,沁源
53877,安泽
53878,黎城
53879,屯留
53880,潞城
53881,韦州
53882,长治
53883,任县
53884,襄垣
53885,壶关
53886,涉县
53888,平顺
53889,林州
53890,武安
53891,南和
53892,邯郸
53893,曲周
53894,峰峰
53895,永年
53896,魏县
53897,磁县
53898,安阳
53899,广平
53903,西吉
53906,静宁
53908,通渭
53910,六盘山
53914,隆德
53915,崆峒
53916,泾源
53917,庄浪
53923,西峰
53924,灵台
53925,镇原
53926,泾川
53927,华亭
53928,崇信
53929,长武
53930,华池
53931,富县
53934,合水
53935,正宁
53937,宁县
53938,旬邑
53941,白水
53942,洛川
53944,黄陵
53945,宜君
53946,黄龙
53947,铜川
53948,蒲城
53949,澄城
53950,合阳
53953,乡宁
53954,稷山
53956,万荣
53957,河津
53958,临猗
53959,运城
53961,曲沃
53962,翼城
53963,侯马
53964,新绛
53965,绛县
53966,浮山
53967,闻喜
53968,垣曲
53970,沁水
53972,沁阳
53973,高平
53974,淇县
53975,阳城
53976,晋城
53978,济源
53979,博爱
53980,肥乡
53981,陵川
53982,焦作
53983,封丘
53984,修武
53985,辉县
53986,新乡
53987,武陟
53988,获嘉
53989,原阳
53991,汤阴
53992,浚县
53993,内黄
53994,卫辉
53995,滑县
53996,成安
53997,延津
53998,长垣
54012,西乌珠穆沁
54024,富河
54026,扎鲁特
54027,巴林左旗
54031,高力板
54039,舍伯吐
